origin,question,options,correct_answer,is_official
"CA DMV Official","When is it legal to drive off the road to pass another vehicle?","['If the vehicle ahead is turning left', 'It is not legal under any conditions', 'If there are two or more one-way lanes']","It is not legal under any conditions",True
"CA DMV Official","When a railroad crossing is not controlled, what is the speed limit when you are within 100 feet and cannot see for 400 feet in both directions?","['15 mph', '10 mph', '25 mph']","15 mph",True
"CA DMV Official","Which of the following is the proper procedure for parallel parking?","['Drive forward into the space without stopping', 'Stop next to the vehicle behind the open space, and then drive forward into the space', 'Stop next to the vehicle in front of the open space, and then back into the space']","Stop next to the vehicle in front of the open space, and then back into the space",True
"CA DMV Official","What speed should you be driving when entering onto a highway?","['At or near the speed of traffic', 'Faster than the speed of traffic', 'Slower than the speed of traffic']","At or near the speed of traffic",True
"CA DMV Official","How many feet away should you switch from high beam to low beam headlights when approaching a vehicle coming towards you?","['900 feet', '700 feet', '500 feet']","500 feet",True
"CA DMV Official","Who can legally park next to curb painted blue?","['Someone who is either picking up or dropping off passengers at this location', 'A person who is disabled and has a special placard or vehicle license plate for disabled persons', 'A person who will only be parked at the curb for less than 15 minutes']","A person who is disabled and has a special placard or vehicle license plate for disabled persons",True
"CA DMV Official","What should you do when there is a school bus ahead that starts flashing yellow warning lights?","['Slow down and prepare to stop', 'Stop immediately and remain stopped', 'Cautiously pass the school bus on the left']","Slow down and prepare to stop",True
"CA DMV Official","Which of the following is a requirement of California's Basic Speed Law?","['Always drive the speed limit, regardless of conditions', 'Match your speed to that of your surrounding traffic', 'Never drive faster than is safe for current conditions']","Never drive faster than is safe for current conditions",True
"CA DMV Official","You must notify the DMV with 5 days, if:","['Paint your vehicle a different color', 'Sell or transfer ownership of your vehicle', 'Receive a traffic violation']","Sell or transfer ownership of your vehicle",True
"CA DMV Official","Which of the following is an example of a safe driving practice?","['Staring only at the middle of the road', 'Always keep your eyes moving to scan the surroundings', 'Using your high-beam headlights in the fog']","Always keep your eyes moving to scan the surroundings",True
"CA DMV Official","What should you do when reaching an intersection where a person operating a motorized wheelchair has entered the crosswalk?","['Remain stopped behind the crosswalk line until the motorized wheelchair has safely finished crossing', 'Honk to alert the pedestrian to move faster', 'Proceed slowly around the wheelchair']","Remain stopped behind the crosswalk line until the motorized wheelchair has safely finished crossing",True
"CA DMV Official","Which of the following is true about large trucks?","['They have large blind spots, which makes it difficult for the truck driver to see other vehicles', 'They can stop faster than passenger vehicles', 'They require less following distance than cars']","They have large blind spots, which makes it difficult for the truck driver to see other vehicles",True
"CA DMV Official","What is one of the most common causes of traffic collisions?","['Driver distractions', 'Vehicle mechanical failures', 'Poor road conditions']","Driver distractions",True
"CA DMV Official","Any driver who willfully flees or attempts to evade law enforcement, during which a person is seriously injured, is subject to:","['Imprisonment in a state prison for up to seven years', 'A fine of up to $5,000 and license suspension', 'Community service and mandatory driving school']","Imprisonment in a state prison for up to seven years",True
"CA DMV Official","What should a driver do who is stopped at an intersection and wants to make a left turn?","['Give the right-of-way to any approaching vehicle that is close enough to be dangerous', 'Proceed immediately since you arrived first', 'Honk to signal your intent and then turn']","Give the right-of-way to any approaching vehicle that is close enough to be dangerous",True
"CA DMV Official","In addition to setting your parking brake, what should you do when parking on a hill?","['Make sure your vehicle is left in the neutral position', 'Make sure your vehicle is in the park position or in gear', 'Turn off the engine and remove the key only']","Make sure your vehicle is in the park position or in gear",True
"CA DMV Official","You are under 18 years of age and have had your license for eight months. You may drive:","['Between 7 a.m. and 8 p.m.', 'Between 5 a.m. and 11 p.m.', 'At any time with a licensed adult']","Between 5 a.m. and 11 p.m.",True
"CA DMV Official","Where should you begin a left turn from a one-way street onto a one-way street?","['The far-left lane', 'The center lane', 'The far-right lane']","The far-left lane",True
"CA DMV Official","You are required to notify DMV by filing a Report of Traffic Accident Occuring in California (SR-1) form if:","['You were involved in a collision with more than $1,000 in damages', 'You receive a parking ticket', 'Your vehicle registration expires']","You were involved in a collision with more than $1,000 in damages",True
"CA DMV Official","At what point during a rainfall are roads slippery on a hot day?","['Immediately after it has stopped raining', 'For the first several minutes', 'Only when it is raining heavily']","For the first several minutes",True
